temperature,pressure,vibration,speed,label
23.72,93.76,1.79,41.09,Normal
23.02,100.11,1.84,54.53,Normal
20.02,105.74,3.87,64.12,Normal
22.75,95.06,3.47,68.77,Normal
26.5,97.53,1.31,60.88,Normal
21.34,93.91,1.49,65.13,Normal
27.94,105.86,4.65,64.8,Normal
22.81,96.41,3.15,57.89,Normal
25.17,91.73,3.1,62.03,Normal
29.59,105.29,4.77,41.82,Normal
20.17,93.38,1.99,67.25,Normal
22.94,108.95,2.86,60.52,Normal
26.75,96.89,4.13,60.29,Normal
70.93,155.99,28.84,109.85,Novel/Unusual
28.96,107.01,2.49,50.47,Normal
25.22,105.19,4.08,46.01,Normal
20.43,94.3,4.14,52.8,Normal
24.68,93.62,2.41,57.37,Normal
21.5,97.66,2.59,49.83,Normal
29.49,99.87,2.26,58.12,Normal
24.34,103.25,3.34,59.44,Normal
21.65,98.47,2.56,49.42,Normal
22.71,99.32,3.45,64.36,Normal
29.95,109.9,3.77,67.46,Normal
26.94,90.7,3.08,57.93,Normal
28.04,106.46,3.13,49.49,Normal
27.0,92.59,2.79,63.3,Normal
90.57,199.34,20.14,111.01,Novel/Unusual
20.45,100.0,1.25,53.52,Normal
28.51,95.5,1.26,63.35,Normal
29.46,91.89,2.05,56.65,Normal
20.83,99.13,4.06,58.31,Normal
24.9,101.36,3.25,53.41,Normal
25.13,94.04,3.22,51.78,Normal
27.63,99.93,3.52,48.23,Normal
21.96,99.83,1.5,67.56,Normal
29.59,108.47,1.66,57.77,Normal
29.17,91.4,4.26,42.28,Normal
22.59,108.12,2.97,55.35,Normal
21.15,99.22,3.46,57.03,Normal
26.33,107.32,1.16,40.13,Normal
23.62,93.96,2.14,49.73,Normal
22.33,96.48,4.49,44.28,Normal
91.69,199.95,18.11,103.82,Novel/Unusual
26.42,108.59,3.65,45.51,Normal
25.05,99.52,4.3,43.87,Normal
21.65,108.12,4.92,63.77,Normal
27.61,98.78,3.73,56.78,Normal
26.3,90.9,1.28,53.0,Normal
29.83,103.72,3.12,68.57,Normal
23.38,95.83,2.79,65.82,Normal
25.81,99.87,1.54,62.71,Normal
28.25,106.53,2.06,47.66,Normal
28.5,92.95,2.49,67.73,Normal
28.93,108.34,2.44,47.49,Normal
27.45,109.77,3.58,44.86,Normal
23.46,90.32,1.91,49.04,Normal
23.71,100.73,1.04,52.43,Normal
24.89,104.76,1.13,68.92,Normal
20.51,101.6,3.05,50.8,Normal
29.8,102.21,1.27,62.05,Normal
27.05,102.65,4.62,51.37,Normal
28.39,102.96,1.81,69.22,Normal
25.06,105.49,1.65,48.1,Normal
29.63,94.72,2.11,69.73,Normal
22.35,99.36,3.61,66.58,Normal
21.88,105.44,3.99,69.64,Normal
28.66,105.21,2.78,61.91,Normal
22.15,107.85,2.25,69.98,Normal
29.9,105.64,3.16,40.85,Normal
22.72,94.05,1.57,40.35,Normal
23.16,91.27,1.04,43.11,Normal
29.27,106.41,4.84,47.92,Normal
21.12,108.26,4.04,49.84,Normal
29.25,97.22,3.88,69.88,Normal
21.02,92.69,4.72,51.3,Normal
26.72,103.55,3.57,40.02,Normal
26.7,105.89,1.17,43.81,Normal
20.25,98.96,3.43,57.89,Normal
26.4,106.4,2.77,41.71,Normal
23.65,98.2,4.7,54.53,Normal
25.59,103.56,3.92,47.32,Normal
23.94,107.81,3.26,45.79,Normal
23.04,106.92,4.4,65.63,Normal
22.97,99.97,4.79,42.3,Normal
27.55,96.95,3.33,60.76,Normal
77.09,156.67,28.14,116.98,Novel/Unusual
27.88,108.35,2.08,69.2,Normal
24.8,102.76,3.98,46.6,Normal
25.33,92.07,1.27,50.94,Normal
27.8,100.73,2.36,55.55,Normal
28.84,91.26,4.41,49.58,Normal
21.54,92.15,4.06,65.65,Normal
29.28,106.38,1.43,61.95,Normal
23.18,94.32,3.69,46.5,Normal
21.25,104.12,4.47,58.85,Normal
29.19,96.03,2.97,58.08,Normal
21.61,98.8,4.95,47.34,Normal
27.65,109.0,1.61,60.21,Normal
25.96,104.25,4.14,49.66,Normal
25.62,106.97,1.79,65.82,Normal
21.71,101.25,4.09,67.68,Normal
29.42,92.54,3.6,68.81,Normal
28.17,102.03,1.39,49.94,Normal
21.09,108.78,3.34,62.49,Normal
26.22,106.68,3.11,43.87,Normal
20.45,106.24,3.5,66.34,Normal
93.95,154.07,27.3,119.8,Novel/Unusual
23.17,95.41,2.04,49.78,Normal
21.38,94.08,3.39,50.11,Normal
27.72,99.73,3.53,53.65,Normal
26.64,107.64,2.64,50.38,Normal
83.2,151.97,18.95,103.59,Novel/Unusual
28.8,109.8,3.01,46.34,Normal
27.22,96.85,2.03,49.65,Normal
26.98,100.69,4.31,48.27,Normal
27.72,109.53,3.7,69.56,Normal
98.07,151.0,17.08,124.67,Novel/Unusual
20.11,102.75,3.79,46.08,Normal
28.44,97.15,3.39,64.81,Normal
22.44,93.09,3.96,65.69,Normal
28.01,91.61,4.94,64.59,Normal
29.03,94.22,4.09,45.53,Normal
21.46,105.16,2.79,49.05,Normal
27.85,109.81,4.1,53.61,Normal
24.93,104.9,3.11,43.02,Normal
23.99,104.1,2.35,47.44,Normal
27.1,93.12,1.27,68.99,Normal
27.98,99.45,3.7,64.05,Normal
27.39,102.81,3.76,48.92,Normal
26.2,95.46,2.99,64.65,Normal
29.62,102.44,1.13,52.9,Normal
21.66,100.44,2.08,58.97,Normal
85.25,181.0,28.23,100.71,Novel/Unusual
23.11,99.56,4.03,68.63,Normal
27.81,97.86,4.88,59.46,Normal
25.84,107.5,3.61,54.07,Normal
27.39,107.22,4.71,53.38,Normal
21.95,102.16,1.18,46.5,Normal
28.53,109.84,3.93,44.83,Normal
28.32,108.48,4.3,69.6,Normal
24.13,103.12,4.98,51.71,Normal
24.33,102.38,4.84,44.21,Normal
21.81,101.72,4.87,67.03,Normal
20.99,108.82,4.95,55.32,Normal
29.82,102.78,1.11,41.75,Normal
20.04,96.64,4.89,46.38,Normal
26.06,107.46,2.23,53.96,Normal
22.95,102.62,2.42,48.89,Normal
24.81,97.61,2.81,60.16,Normal
22.35,98.06,2.0,58.3,Normal
27.27,109.97,1.52,42.39,Normal
79.84,197.65,27.43,106.97,Novel/Unusual
28.01,98.58,2.99,43.16,Normal
28.46,105.19,2.73,49.74,Normal
29.46,106.84,2.91,56.38,Normal
21.4,109.93,1.42,49.36,Normal
25.91,105.92,2.63,69.93,Normal
26.68,103.2,3.46,61.13,Normal
21.97,94.34,1.87,45.02,Normal
22.78,97.84,3.09,50.1,Normal
20.31,102.13,1.28,44.79,Normal
20.3,95.29,2.18,65.63,Normal
24.01,108.27,3.17,52.42,Normal
29.04,100.92,4.78,64.97,Normal
22.96,109.88,3.62,56.3,Normal
27.79,107.77,2.03,65.75,Normal
25.41,104.6,2.61,49.11,Normal
23.66,101.54,4.69,58.02,Normal
24.78,90.88,5.0,69.47,Normal
21.2,108.48,4.95,61.04,Normal
24.12,98.92,3.78,46.69,Normal
24.56,109.06,1.19,63.92,Normal
78.49,162.74,16.4,149.81,Novel/Unusual
24.74,94.37,4.95,55.74,Normal
20.88,90.09,1.37,57.71,Normal
22.37,90.53,3.41,59.23,Normal
25.94,98.37,1.17,68.13,Normal
28.9,107.76,2.55,49.28,Normal
24.97,93.78,4.44,44.61,Normal
27.87,93.9,3.38,55.09,Normal
21.37,94.16,1.06,55.63,Normal
24.38,101.3,1.87,45.85,Normal
29.58,98.73,1.27,40.3,Normal
28.9,95.9,4.13,52.71,Normal
24.82,105.25,1.09,56.47,Normal
25.23,108.55,3.09,52.5,Normal
24.19,103.61,1.51,62.44,Normal
21.79,101.08,2.75,40.7,Normal
28.41,104.44,4.39,53.15,Normal
28.75,91.3,4.07,52.46,Normal
22.54,99.35,4.57,41.6,Normal
28.53,109.29,1.1,54.9,Normal
23.1,107.86,1.95,47.46,Normal
28.04,93.36,3.45,66.48,Normal
21.06,103.8,3.39,56.96,Normal
26.95,98.63,1.38,54.75,Normal
21.22,98.73,2.37,46.47,Normal
29.85,108.17,1.39,48.65,Normal
25.57,104.77,3.94,50.96,Normal
26.83,93.74,2.76,40.03,Normal
22.09,91.02,4.83,60.56,Normal
25.3,99.28,4.65,54.13,Normal
24.9,99.19,1.4,47.55,Normal
27.58,96.6,1.73,50.44,Normal
27.03,94.82,3.21,60.37,Normal
23.71,91.39,4.72,61.27,Normal
23.04,100.57,2.74,59.86,Normal
25.49,101.37,4.96,60.16,Normal
28.36,102.77,1.67,63.72,Normal
25.54,93.54,1.3,44.65,Normal
24.91,102.9,4.15,64.66,Normal
22.53,105.97,3.96,54.74,Normal
22.31,98.95,1.55,57.15,Normal
23.48,95.52,3.77,57.01,Normal
22.02,98.17,3.62,47.72,Normal
23.42,106.7,3.42,67.57,Normal
24.26,104.69,1.37,45.1,Normal
21.11,95.74,3.92,48.34,Normal
24.38,97.98,3.66,58.68,Normal
24.63,107.05,3.35,49.95,Normal
20.61,92.36,3.08,67.45,Normal
86.35,170.62,23.4,110.12,Novel/Unusual
21.4,95.62,4.7,52.6,Normal
22.78,96.52,3.51,47.51,Normal
28.59,94.9,4.4,64.45,Normal
21.42,98.56,2.93,62.21,Normal
26.16,94.29,3.14,62.85,Normal
29.59,106.99,1.48,53.94,Normal
25.25,109.63,3.35,56.47,Normal
27.83,96.91,2.54,59.44,Normal
98.77,196.23,17.67,111.89,Novel/Unusual
22.18,102.24,1.95,48.25,Normal
25.05,93.5,1.2,55.86,Normal
23.7,99.38,4.24,49.87,Normal
29.68,106.37,3.44,42.81,Normal
24.19,92.38,4.03,43.42,Normal
71.85,167.19,20.8,113.69,Novel/Unusual
21.23,106.64,3.29,62.94,Normal
28.61,102.66,4.8,45.21,Normal
26.97,93.23,1.62,49.63,Normal
20.14,100.68,3.43,58.44,Normal
23.34,103.06,2.95,49.44,Normal
27.08,98.99,4.48,65.78,Normal
23.85,105.09,3.87,42.11,Normal
29.03,104.03,3.75,67.42,Normal
29.28,98.62,3.32,59.94,Normal
26.62,97.33,4.77,57.64,Normal
20.23,98.39,3.47,60.0,Normal
20.49,94.14,4.27,65.29,Normal
28.14,100.18,4.41,56.89,Normal
